"","Watershed","Site.ID","Day","BStrm","BFresh","BSwamp","BImp","BSalt"
"1","Pawtuxet",6,11,5,6.59082483770282,10.6258378026536,12.1065452052762,0
"29","Pawtuxet",9,54,5,3.84513861780781,0,0,0
"49","Pawtuxet",10,54,5,9.97967329271475,0,0,0
"76","Pawtuxet",15,31,NA,0.580388154254042,0,17.1260083970408,0
"80","Pawtuxet",17,9,2,38.4087097036162,1.21555764601231,0,0
"110","Pawtuxet",18,18,NA,0,0,0,0
"112","Pawtuxet",19,18,NA,0,0,1.40221136055241,0
"114","Pawtuxet",20,9,NA,55.9804636863356,0,0,0
"123","Pawtuxet",22,65,NA,12.4750407141933,0,11.0205438471252,0
"127","Pawtuxet",28,103,1,24.0663175558634,0,0,0
"132","Pawtuxet",29,103,1,15.8844003062988,0,0,0
"141","Pawtuxet",33,110,NA,83.6288330958617,0,0,0
"155","Pawtuxet",34,110,NA,37.2336983529741,0,0,0
"165","Pawtuxet",70,109,4,70.8578328146069,0,6.84951505368313,0
"190","Pawtuxet",73,40,1,0,0,0.90847893894769,0
"192","Pawtuxet",75,109,NA,6.26925244555347,0,1.61900951842921,0
"196","Pawtuxet",77,24,2,0,1.48591078659991,18.9098082780748,0
"199","Pawtuxet",82,24,2,21.2023519300168,0,1.23415588306822,0
"203","Pawtuxet",84,24,NA,29.2895726229365,0,0,0
"207","Pawtuxet",89,65,NA,45.9876151002805,0,18.0754365262395,0
"211","Pawtuxet",90,59,NA,14.9387552503416,0,42.7224704174,0
"218","Pawtuxet",91,86,1,6.62311870178685,0,0,0
"227","Pawtuxet",92,103,NA,31.2947029190775,0,0,0
"231","Pawtuxet",93,103,NA,14.4518214503684,0,0,0
"235","Pawtuxet",94,103,NA,92.1019016792117,0,0,0
"239","Pawtuxet",95,103,NA,40.1336892062392,0,0,0
"245","Pawtuxet",99,26,NA,19.1236645384985,0,61.1042488444582,0
"256","Pawtuxet",100,33,NA,3.69265722172023,0,18.7559702816703,0
"278","Narragansett Bay",103,39,NA,0,1.28622177313186,0,9.94209286660636
"280","Narragansett Bay",107,12,NA,0,0,9.31601826776816,8.87559985210595
"284","Narragansett Bay",108,32,NA,2.4273731630451,0,0,0
"286","Narragansett Bay",111,34,NA,0,0,42.2368783783304,10.5020558321781
"288","Narragansett Bay",114,39,NA,0,0,5.1811244075953,7.84255212857803
"290","Narragansett Bay",115,12,NA,0,0,0,15.104622687445
"294","Narragansett Bay",116,25,2,29.2613497475913,2.55590507543122,3.29846617811205,0
"307","Narragansett Bay",120,5,NA,94.7939538146589,4.66984233449605,0,0
"317","Narragansett Bay",121,4,NA,91.226463175304,2.27652680443633,0,0
"328","Narragansett Bay",122,5,2,0,2.00883815934229,1.92039228331509,0
"330","Narragansett Bay",123,13,NA,9.92907864268954,2.78133429838662,3.09551765611442,0
"335","Narragansett Bay",125,13,4,0,0,6.65362289271932,0
"337","Narragansett Bay",127,5,3,0,0,17.0047383891564,0
"339","Narragansett Bay",129,46,NA,19.0662215749065,0,0.819065857170332,0
"341","Narragansett Bay",134,93,1,0,0,21.5892318154835,3.61475561031813
"343","Narragansett Bay",148,9,2,0,0,0,0
"345","Narragansett Bay",149,9,2,0,0,0,0
"347","Narragansett Bay",151,9,1,0,0,0,0
"349","Narragansett Bay",153,23,1,0,0,0,0
"351","Narragansett Bay",162,9,NA,32.4440302479365,0,0,0
"364","Narragansett Bay",167,44,3,2.64845066881283,38.3751360561667,0,0
"369","Narragansett Bay",168,30,NA,0,10.8689496648884,10.7274076483363,0
"371","Narragansett Bay",175,10,NA,1.70444619877612,0,0,0
"373","Narragansett Bay",176,23,4,1.58558572365782,0,3.15866149687525,0
"377","Narragansett Bay",187,94,NA,0,0,3.62596527278083,9.73019781031747
"379","Narragansett Bay",189,81,1,0,0,0,12.1658079533455
"381","Narragansett Bay",199,19,2,0,0,0,0
"385","Narragansett Bay",200,19,1,0,0,0,0
"389","Pawtuxet",202,45,2,0,41.6459861098673,2.16234817485268,0
"396","Pawtuxet",203,45,NA,0,1.48706707088284,2.19457045677897,0
"400","Pawtuxet",205,61,1,0,0,0,0
"404","Pawtuxet",206,61,4,5.02780907366718,0,0,0
"424","Pawtuxet",207,61,4,0,0,1.26873441194837,0
"436","Pawtuxet",208,80,4,7.43004466520391,0,0,0
"456","Pawtuxet",209,37,3,0,0,0.118133180586387,0
"460","Pawtuxet",210,37,1,0,0,2.21412307892649,0
"464","Pawtuxet",212,52,1,2.2012659230392,5.04483207357013,0,0
"485","Pawtuxet",215,52,NA,56.2323476617765,0,0,0
"518","Pawtuxet",217,45,NA,10.3010418851834,3.54362368486618,0,0
"524","Pawtuxet",224,38,1,12.3214005417327,10.9374728377719,0,0
"538","Pawtuxet",226,37,NA,9.28751500709544,0,21.7237732515045,0
"542","Pawtuxet",227,82,1,3.59967705905152,0,0,0
"547","Pawtuxet",228,86,2,8.8198496767108,0,0,0
"552","Pawtuxet",229,38,3,12.7239366757388,0,0.616474012073014,0
"579","Pawtuxet",231,38,NA,4.29848533256442,6.10374246334584,0,0
"592","Pawtuxet",232,62,2,1.38890837173625,0,8.65774580648417,0
"596","Pawtuxet",233,62,2,7.08507832247903,0,6.27049558698964,0
"600","Pawtuxet",237,40,2,0,0,8.23679505927344,0
"602","Pawtuxet",246,40,NA,6.56817188238964,0,0.852630294579883,0
"607","Pawtuxet",249,59,1,8.17844611291895,0,6.07126005523406,0
"614","Pawtuxet",250,40,3,5.31629527328004,0,0,0
"618","Narragansett Bay",256,58,2,0,0,10.8700424269344,0
"620","Narragansett Bay",257,58,NA,0,0,13.8327275907043,6.25176772501735
"624","Narragansett Bay",258,58,1,0,0,11.467088080049,25.0196558772969
"628","Narragansett Bay",260,93,1,0,3.66213523308214,19.8456128712964,4.32958163605695
"635","Narragansett Bay",270,93,NA,0,0,0.646461468600632,18.6329310910643
"640","Narragansett Bay",294,68,4,0,0,18.2812841391139,0
"653","Narragansett Bay",295,94,1,11.0226381678223,0,0.880790177306781,0
"660","Narragansett Bay",296,94,NA,6.97012839057497,0,0,0.202778252219994
"667","Narragansett Bay",297,66,NA,20.281837078948,0,0,0
"673","Pawtuxet",301,87,1,0,0,0,0
"675","Pawtuxet",302,87,4,4.24926491129937,0,0,0
"709","Narragansett Bay",303,88,1,0.73988098006835,1.81071901530353,12.4001776758847,0
"713","Narragansett Bay",304,88,NA,0,0,0,12.548932170241
"717","Pawtuxet",305,89,NA,9.63431211795263,0,0,0
"742","Pawtuxet",306,89,NA,8.72354507851484,0,0,0
"754","Pawcatuck",2197,349,4,0.738617518,16.52240473,0,0
"761","BIS",792,350,NA,0,0,6.85928759162612,75.9103831210171
"763","BIS",799,350,NA,0,0,11.8514192665565,5.99153723789684
"775","Pawcatuck",183,12,4,0,68.98323874,0,0
"786","Pawcatuck",727,18,3,0,0,0,0
"788","Pawcatuck",728,18,3,0,0,0,0
"791","Pawcatuck",748,18,1,17.95605227,0,0.107124677,0
"803","Pawcatuck",195,19,NA,4.140978838,0,0,0
"815","Quinebaug",6221,21,4,6.08676540912312,0,0,0
"843","Quinebaug",6824,21,1,29.8608265206969,0,3.88258313325835,0
"849","Pawcatuck",1079,25,NA,1.525085588,0,0,0
"855","Pawcatuck",1113,25,4,0,0,0.720310277,0
"859","Pawcatuck",897,26,3,2.274452286,0,0,0
"867","Pawcatuck",1945,26,NA,3.499257628,0,0.013017867,0
"879","Pawcatuck",1800,32,1,0,82.98918796,4.341246927,0
"893","Pawcatuck",1236,33,NA,0.062367966,0,7.40318155,0
"899","Pawcatuck",1664,33,1,3.658407157,0,23.13125853,0
"916","Pawcatuck",2051,35,3,0,0,5.116479403,0
"939","Pawcatuck",2512,35,3,0,0,0,0
"941","Pawcatuck",1517,39,NA,0,0,0,0
"948","Pawcatuck",1519,39,NA,0,0,0,0
"957","Pawcatuck",4556,40,NA,0,0,0,0
"959","Quinebaug",5761,41,4,7.88970779427315,20.207751852055,0,0
"982","Pawcatuck",4099,42,1,0,0,0,0
"983","Pawcatuck",384,45,3,0,2.816629247,0,0
"990","Pawcatuck",1248,45,1,1.976089828,0,5.628682599,0
"997","Pawcatuck",1652,45,2,2.896915389,0,4.67283315,0
"1001","Pawcatuck",361,47,1,4.795753225,9.320775671,9.427166783,0
"1006","Pawcatuck",2000,47,3,2.772511702,0,0,0
"1021","Pawcatuck",3681,47,NA,0,20.94831294,3.454899567,0
"1023","Pawcatuck",3798,47,NA,0,0,4.32094502,0
"1025","Quinebaug",1807,47,NA,0,0,0.728030812285535,0
"1027","Pawcatuck",320,52,2,4.352958925,1.794784454,0,0
"1046","Pawcatuck",3622,53,4,3.291258301,0.798018163,1.874369981,0
"1070","Quinebaug",9630,54,2,0,20.9727583092485,0,0
"1088","Quinebaug",10122,54,2,57.3003167760994,0,0,0
"1094","Quinebaug",10157,54,2,0,0,0,0
"1096","Quinebaug",10392,54,NA,0,53.0103945758344,0,0
"1109","Quinebaug",5756,55,4,1.50375065825907,17.6022056773068,0,0
"1122","Quinebaug",5771,55,4,3.78100501795741,29.6338750155916,0,0
"1142","BIS",353,59,NA,56.646710008424,0,0,0
"1144","BIS",498,61,3,7.5403059630502,3.37806819463208,0,0
"1146","BIS",652,61,2,30.3131673717464,0,0,0
"1148","BIS",889,61,3,0.234933091870605,3.64336311729038,0.743225470663278,0
"1150","BIS",1229,61,NA,0,0,55.8166481415033,7.8610017842633
"1152","Pawcatuck",321,61,2,0,24.28550592,0,0
"1154","Pawcatuck",1144,61,NA,0,0,6.89265362,0
"1157","Pawcatuck",3144,61,1,0,0,2.261376692,0
"1159","Quinebaug",5595,62,4,4.14115378409692,9.35979232215103,3.95135071964939,0
"1176","Quinebaug",6831,63,NA,71.1883169521881,0,0,0
"1201","Pawcatuck",4335,67,NA,25.18092398,0,0,0
"1234","Pawcatuck",4337,67,1,3.598787621,0,0.122017894,0
"1242","BIS",272,68,1,0,1.68860330933266,0,50.1548230305907
"1244","BIS",291,68,NA,0,4.99899331622951,28.3991784113183,0
"1246","Pawcatuck",9,68,1,0,2.766684238,13.87869485,41.481128883
"1254","Pawcatuck",4046,69,NA,0.737011715,25.32754367,0,0
"1268","BIS",358,70,2,1.31037361180059,0,0,0
"1270","Pawcatuck",42,74,NA,0,0,2.287739778,12.482689767
"1273","Pawcatuck",43,74,NA,0,0,15.29911512,9.845456679
"1275","Pawcatuck",45,74,NA,0,0,8.70241457,7.143663695
"1277","Pawcatuck",1721,74,2,0,0,23.15065434,0.086853357
"1282","BIS",852,75,2,4.32319936690792,0,2.72274800083085,0
"1286","BIS",859,75,2,0,0,0,0
"1288","BIS",905,75,NA,0,0,0,14.302187036439
"1292","BIS",914,75,1,0,0,0,0
"1294","Quinebaug",5568,75,1,0,1.02524274792223,0,0
"1296","Quinebaug",5712,75,NA,0.408190011107968,26.4234610073205,0,0
"1298","Quinebaug",6050,75,1,0,0,0,0
"1300","BIS",61,76,NA,0,0,0,31.5797538897323
"1302","BIS",65,76,NA,0,0,0.644666079023197,10.6121828939436
"1304","BIS",34,80,NA,2.08629720416598,13.6042941556869,0,22.1798144145658
"1307","BIS",46,80,NA,0.028336990811804,22.2343095539511,0,5.83273536751251
"1309","BIS",55,80,NA,0,0.364688378520927,0,5.22571608148252
"1313","BIS",115,80,1,0,0,0,3.99436810263805
"1316","BIS",203,80,NA,0,0,0,8.80410256468656
"1318","BIS",236,80,NA,0,0,0.518786028254184,25.7847376269473
"1321","Pawcatuck",2123,81,NA,0,15.87432101,0,0
"1324","Pawcatuck",2169,81,NA,36.19547388,63.80465853,0,0
"1330","Quinebaug",5589,82,3,6.60766010508215,14.6079646119663,0,0
"1345","Quinebaug",5632,82,3,7.06217243637554,2.15243597825137,1.10212099911895,0
"1356","Quinebaug",6440,82,2,0,0,0,0
"1358","Quinebaug",6698,82,NA,0,0,0,0
"1360","Quinebaug",9697,82,1,0,0,0,0
"1362","Quinebaug",9698,82,3,5.28331487186492,0,0,0
"1380","Quinebaug",10398,82,2,2.25869204052678,0,3.22185572585706,0
"1384","Pawcatuck",256,83,NA,0,85.73132617,0,0
"1401","Pawcatuck",594,88,1,0,0,0.312011078,0
"1403","Pawcatuck",1548,88,NA,0,45.72090426,0,0
"1411","Pawcatuck",3124,108,4,0,28.51834184,0,0
"1447","Block Island Sound",34,188,NA,2.08629720416598,13.6042941556869,0,22.1798144145658
"1449","Block Island Sound",61,229,NA,0,0,0,31.5797538897323
"1451","Block Island Sound",65,229,NA,0,0,0.644666079023197,10.6121828939436
"1453","Block Island Sound",203,188,NA,0,0,0,8.80410256468656
"1455","Block Island Sound",236,188,NA,0,0,0.518786028254184,25.7847376269473
"1458","Block Island Sound",272,174,1,0,1.68860330933266,0,50.1548230305907
"1461","Block Island Sound",353,154,NA,56.646710008424,0,0,0
"1466","Block Island Sound",358,154,2,1.31037361180059,0,0,0
"1473","Block Island Sound",498,167,3,7.5403059630502,3.37806819463208,0,0
"1477","Block Island Sound",652,167,2,30.3131673717464,0,0,0
"1479","Block Island Sound",792,231,NA,0,0,6.85928759162612,75.9103831210171
"1481","Block Island Sound",799,231,NA,0,0,11.8514192665565,5.99153723789684
"1483","Block Island Sound",889,167,3,0.234933091870605,3.64336311729038,0.743225470663278,0
"1485","Block Island Sound",905,167,NA,0,0,0,14.302187036439
"1572","Pawcatuck",1250,179,4,3.591779181,0,41.40011758,0
"1917","Blackstone",132,3,3,0,0,2.17331798700865,0
"1918","Blackstone",133,3,3,0,0,0,0
"1920","Blackstone",114,3,3,0,10.45193294055,0,0
"1926","Blackstone",130,4,1,2.15581849251569,0,0,0
"1927","Blackstone",128,4,2,0.015108999340385,0,0.385233765142195,0
"1930","Blackstone",126,4,1,0,0,0,0
"1936","Blackstone",139,5,1,0,0.001757502340931,2.1275497537278,0
"1937","Blackstone",163,5,NA,3.80960607088011,0,5.89233804605284,0
"1938","Blackstone",144,5,NA,0,27.1777570260756,0,0
"1943","Woonasquatucket-Moshassuck",69,8,NA,1.49549666800979,0,5.44673523163513,0
"1944","Woonasquatucket-Moshassuck",66,8,1,5.28188571403195,0,5.0222865303452,0
"1951","Woonasquatucket-Moshassuck",67,8,2,0,0,6.08140090539106,0
"1957","Blackstone",224,9,1,50.6331122274282,0,0,0
"1958","Blackstone",211,9,NA,1.83708324870127,0,2.87474561709336,0
"1959","Blackstone",204,9,NA,1.3445251038679,0,5.89802197791759,0
"1961","Blackstone",197,9,1,8.60715507309734,0,0,0
"1963","Blackstone",196,9,NA,32.8355223357198,0,0,0
"1968","Blackstone",225,9,4,4.28385935439339,0,4.28515875669723,0
"1973","Blackstone",76,10,NA,1.23056678193658,1.1754227788611,21.5377373110025,0
"1974","Blackstone",80,10,1,0,0.6300314552064,6.41620184207961,0
"1975","Blackstone",89,10,1,0,0,13.2701699170376,0
"1979","Woonasquatucket-Moshassuck",17,12,NA,3.62830689821854,0,61.2762630233716,0
"1982","Woonasquatucket-Moshassuck",19,12,1,2.49562108096429,0,9.50878589848241,0
"1984","Woonasquatucket-Moshassuck",18,12,5,40.8605614652154,0,8.3411298366789,0
"1990","Blackstone",79,19,NA,0,8.5753921442543,0,0
"1992","Blackstone",101,22,NA,0,0,0,0
"1993","Blackstone",82,22,3,0,0,0,0
"1996","Blackstone",115,23,NA,0,4.5001498942601,0.238141127471058,0
"1999","Woonasquatucket-Moshassuck",38,24,NA,82.7769581216143,0,4.95953673014778,0
"2000","Woonasquatucket-Moshassuck",41,24,4,34.9885044063883,0,0,0
"2013","Blackstone",180,25,2,4.58355562799109,0,0,0
"2016","Blackstone",182,25,2,2.71735197102048,0,13.5504594584688,0
"2017","Blackstone",201,25,2,5.51399358242391,0,11.4105298178493,0
"2018","Blackstone",184,25,2,0,0,0,0
"2024","Blackstone",183,25,1,29.0495672318091,0,0.819327374831156,0
"2025","Blackstone",98,26,NA,36.2036217913366,0,8.98673775040152,0
"2026","Blackstone",97,26,NA,94.3947849282047,0,0,0
"2030","Blackstone",99,26,NA,51.3484308995641,0,20.0533762180697,0
"2038","Blackstone",202,29,NA,13.2435118791353,0,3.07411806154714,0
"2044","Blackstone",172,29,NA,26.5406580625041,3.84690636161185,0.006296675573731,0
"2067","Woonasquatucket-Moshassuck",50,31,5,0.661202442440628,0,0,0
"2071","Woonasquatucket-Moshassuck",53,31,5,3.36082398519042,0,0,0
"2078","Blackstone",166,32,3,31.2814880893379,0,0,0
"2083","Blackstone",164,32,NA,12.5968407603597,0,0,0
"2090","Blackstone",222,32,3,15.5492495071597,0,4.64369046989902,0
"2109","Blackstone",189,36,2,0,0,0,0
"2114","Blackstone",221,37,2,0,0,0,0
"2131","Woonasquatucket-Moshassuck",61,38,1,4.26229296802525,0,20.6487918984967,0
"2132","Woonasquatucket-Moshassuck",56,38,4,0.079537794891552,3.5126675547219,0,0
"2137","Woonasquatucket-Moshassuck",63,39,2,0,0,0,0
"2139","Blackstone",153,43,4,23.8187205579654,0,0,0
"2154","Blackstone",113,45,NA,42.3639279973152,5.11657639573038,0,0
"2171","Blackstone",146,46,NA,42.8924725280997,6.7674798787105,6.0350597000427,0
"2187","Blackstone",140,46,3,6.11818569875368,5.61679684368149,0,0
"2208","Woonasquatucket-Moshassuck",54,47,1,82.7344367635528,0,4.42313379726126,0
"2219","Blackstone",108,51,3,6.60114933628022,0,37.087409157767,0
"2222","Blackstone",135,52,4,4.45501283853985,0,6.42500357967926,0
"2233","Blackstone",136,52,2,5.14788909498318,0,14.5238006345732,0
"2234","Blackstone",109,52,NA,46.6237129247101,0,0.357803345845446,0
"2252","Blackstone",216,53,1,5.48422039498304,0,28.1119512584487,0
"2261","Blackstone",305,57,NA,7.77606473172666,23.1838929897177,0,0
"2269","Blackstone",229,57,NA,23.357153678611,43.777004226474,0,0
"2280","Blackstone",228,57,NA,16.3115970826574,0,0,0
"2298","Blackstone",268,59,2,0,0,0,0
"2299","Blackstone",253,59,2,11.1612365197158,0,9727.99009113775,0
"2305","Blackstone",245,64,NA,7.89749078073844,0,2056.97067810148,0
"2308","Blackstone",249,64,NA,13.1244373516381,0,495.888959926122,0
"2313","Blackstone",248,64,NA,14.3383607726233,0,0,0
"2326","Blackstone",311,66,1,0,0,0,0
"2329","Blackstone",310,66,NA,0,0,0,0
"2330","Blackstone",300,66,1,4.15212112409435,37.3577890362733,0,0
"2334","Blackstone",321,66,1,0,0,0,0
"2342","Blackstone",308,67,2,15.5456863993048,7.3978682684011,0,0
"2348","Blackstone",320,67,NA,55.3162693463073,10.7561356986976,1650.02962613752,0
"2351","Blackstone",309,67,NA,27.7963954583635,8.19986630649905,0,0
"2355","Blackstone",322,67,NA,8.33072220046393,0,0,0
"2364","Blackstone",257,68,NA,4.12970158366052,4.68726952848059,17857.1305351739,0
"2372","Blackstone",258,68,4,10.6828571656042,0,4268.75356958235,0
"2377","Blackstone",125,68,4,0.86820305277245,0,2.10962987393845,0
"2380","Blackstone",325,68,3,4.65322194924333,0,33332.2815463605,0
"2385","Woonasquatucket-Moshassuck",30,79,1,10.2312492212675,0,3.690986261856,0
"2386","Woonasquatucket-Moshassuck",35,79,1,31.92480737225,0,0,0
"2387","Woonasquatucket-Moshassuck",32,79,1,48.2489328278812,0,1.07428178069655,0
"2390","Woonasquatucket-Moshassuck",33,79,1,39.0380533370723,0,0.034347577600057,0
"2396","Blackstone",296,80,3,0,0,4848.23700845707,0
"2402","Blackstone",294,80,3,1.81857545813045,0,3216.04270840113,0
"2412","Blackstone",292,80,3,0,0.716122419525808,2485.56357326569,0
"2416","Blackstone",293,80,4,1.99151850534031,0.772341396778202,0,0
"2430","Blackstone",242,81,2,14.7757612199719,8.39738350296818,0,0
"2438","Blackstone",297,155,NA,6.68224690689273,0,143.166155797586,0
"2501","Blackstone",323,157,3,0,10.45193294055,0,0
"2670","Blackstone",106,170,NA,49.5473089638789,0,5.50380420599326,0
"2672","Blackstone",105,170,NA,48.0111110645722,0,9.1001029476313,0
